Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"BFFP 2, HMS 021",Sonic Youth / Lydia Lunch,Death Valley '69,"Blast First, Homestead Records","12"", EP",,1985,381693,"LP - 12""",2016-02-13 23:23:52,,,
AZURX 2,Shop Assistants,I Don't Wanna Be Friends With You,"Blue Guitar, Chrysalis","12"", Single",,1986,576515,"LP - 12""",2015-09-14 03:54:04,,,
BMGCAT392DLP,Super Furry Animals,Guerrilla,BMG,"2xLP, Album, RE, RM, 20t",,2019,14283127,"LP - 12""",2020-09-13 23:43:01,,,
SPEXDLP01,X-Ray Spex,I Am A Cliché,BMG,"LP, Pin + LP, Gre + Comp, RM",,2019,13485819,"LP - 12""",2019-04-13 20:56:10,,,
BLP 4100-1,The Telescopes,As Approved By The Committee,BOMP!,"LP, Comp, Ltd, RE, Pin",,2008,2507238,"LP - 12""",2019-02-09 23:06:57,,,
"[SID001], none",Various,Silence = Death,"Bored Bear Recordings, BTNR","Cass, Comp, Ltd, c10",,2011,2715666,Cassettes,2018-01-24 21:16:07,,,
BB047,Clothilde,Clothilde,Born Bad Records,"LP, Comp",,2013,4285087,"LP - 12""",2015-09-13 23:43:35,,,
BF071,Ross From Friends,Family Portrait,Brainfeeder,"2xLP, Album",,2018,12298829,"LP - 12""",2018-11-05 03:49:08,,,"Amoeba, Berkeley"
"BRILLLP117, 9556-1",The Knife,Shaking The Habitual,"Brille Records, Mute","3x12"", Album, 180 + 2xCD, Album",,2013,4449847,"LP - 12""",2015-09-10 04:37:53,,,
BL 754147,Erma Franklin,Soul Sister,Brunswick,"LP, Album, RE",,2004,3133632,"LP - 12""",2016-03-02 02:01:47,,,
BDR002,Nobunny,Love Visions,Bubbledumb Records,"LP, Album",,2008,3086813,"LP - 12""",2015-09-14 02:36:40,,,
BDS 5670,Andrea True Connection,"More, More, More",Buddah Records,"LP, Album",,1976,110113,"LP - 12""",2017-01-29 20:08:36,,,
BRGR012,Nobunny,Raw Romance,Burger Records,"Cass, Album, Ltd, Num",,2009,2547418,Cassettes,2017-09-30 21:01:52,,,
BRGR1106,The Courtneys,II,Burger Records,"Cass, Album",5,2017,10936749,Cassettes,2017-09-30 22:18:06,,,
BRGR205,La Sera,Sees The Light,Burger Records,"Cass, Album, Ltd",,2012,3541687,Cassettes,2015-10-16 02:51:36,,,
BRGR252,Various,Party In The Tower - Fresno Rock 'N Roll 1980-88,Burger Records,"Cass, Comp, Ltd",,2013,5840291,Cassettes,2015-10-25 04:36:53,,,
"BRGR1313, TGCS 11072",Chai (6),Punk,"Burger Records, Burger Records","LP, Album",,2019,13405575,"LP - 12""",2019-07-28 07:09:19,,,
CZ078,7 Year Bitch,¡Viva Zapata!,C/Z Records,"LP, Album",,1994,2860731,"LP - 12""",2015-12-17 03:26:05,,,
B0025788-01,Selena,Dreaming of You,Capitol Latin,"2xLP, Album, RE, RM",,2016,9388037,"LP - 12""",2017-01-08 19:39:48,,,
