Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
DGCC-25007,Weezer,Pinkerton,DGC,"Cass, Album",,1996,6458034,Cassettes,2017-09-30 17:24:54,,,
DGCD-25121,Various,SubUrbia Original Motion Picture Soundtrack,DGC,"CD, Comp",,1997,2796667,CD,2019-01-14 04:24:59,,,
"DGCC-24632, DGCC 24632",Sonic Youth,"Experimental Jet Set, Trash And No Star","DGC, DGC","Cass, Album",,1994,1933291,Cassettes,2017-09-30 21:15:22,,,
DGC 24277,The Sundays,"Reading, Writing And Arithmetic","DGC, Rough Trade","LP, Album",,1990,1567270,"LP - 12""",2017-01-23 03:18:53,,,
B0023316-01,Sonic Youth,Dirty,"DGC, UMe","2xLP, Album, RE, RM",,2016,8667735,"LP - 12""",2018-10-14 00:43:14,,,"1,2,3,4 Go!, Oakland"
B0023317-01,Sonic Youth,"Experimental Jet Set, Trash And No Star","DGC, UMe","LP, Album, RE, RM",,2016,9247748,"LP - 12""",2016-11-13 01:24:35,,,
B0023559-01,Sonic Youth,Washing Machine,"DGC, UMe","2xLP, Album, RE, RM, 150",,2016,8169651,"LP - 12""",2016-03-05 05:08:42,,,
DSH022,The Black Lips,Los Valientes Del Mundo Nuevo,Die Slaughterhaus,"LP, Album",,2007,4257733,"LP - 12""",2017-06-10 04:49:19,,,
DIE 001,Murder City Devils,The Murder City Devils,Die Young Stay Pretty Records,"LP, Album, RP, Gre",,2009,1684888,"LP - 12""",2015-09-14 02:26:20,,,
DR21,Marbled Eye,Leisure,Digital Regress,"LP, Ltd",,2018,12522921,"LP - 12""",2018-09-29 21:48:39,,,"1,2,3,4 Go!, Oakland"
DPROMDLP 54,Acid Mothers Temple & The Melting Paraiso UFO,Good-Bye John Peel : Live In London 2004,Dirter Promotions,"2xLP, Album, Ltd, Whi",,2005,2251886,"LP - 12""",2016-01-17 23:20:51,,,
ZZZ-112,Guantanamo Baywatch,Chest Crawl,Dirtnap Records,"LP, Album",,2012,3667293,"LP - 12""",2018-01-16 02:02:46,,,
ZZZ-46,The Marked Men,On The Outside,Dirtnap Records,"LP, Album",,2004,486233,"LP - 12""",2015-09-14 01:59:20,,,
ZZZ-72,The Busy Signals (2),The Busy Signals,Dirtnap Records,"LP, Album",,2007,1167398,"LP - 12""",2015-09-13 23:23:00,,,
ZZZ-79,The Marked Men,Ghosts,Dirtnap Records,"LP, Album",,2008,2846523,"LP - 12""",2015-10-25 04:30:21,,,
"ZZZ-46, DC-047",The Marked Men,On The Outside,"Dirtnap Records, Dirt Cult Records","Cass, Album, RE, Ora",,2012,4369515,Cassettes,2017-09-30 20:31:05,,,
DIS 123V,Q And Not U,No Kill No Beep Beep,Dischord Records,"LP, Album",,2000,1091525,"LP - 12""",2015-09-14 03:09:42,,,
DIS 71V,The Nation Of Ulysses,Plays Pretty For Baby,Dischord Records,"LP, Album",,1992,446560,"LP - 12""",2015-09-14 05:51:29,,,
DIS122V,Faraquet,The View From This Tower,Dischord Records,"LP, Album, RE, RM",,2010,2232270,"LP - 12""",2016-10-26 20:18:23,,,
DIS133V,Q And Not U,Different Damage,Dischord Records,"LP, Album",,2002,625044,"LP - 12""",2015-09-14 03:10:01,,,
DIS135V,Black Eyes,Black Eyes,Dischord Records,"LP, Album",,2003,719425,"LP - 12""",2015-09-09 04:57:55,,,
DIS141V,Q And Not U,X-Polynation / Book Of Flags,Dischord Records,"7"", Single",5,2003,2181954,"7""",2015-09-18 03:34:57,,,
DIS143V,Q And Not U,Power,Dischord Records,"LP, Album",,2004,611748,"LP - 12""",2015-09-14 03:10:10,,,
DIS145V,Black Eyes,Cough,Dischord Records,"LP, Album",,2004,1254094,"LP - 12""",2015-09-09 04:58:01,,,
Dis91V,Slant 6,Soda Pop*Rip Off,Dischord Records,"LP, Album",,1994,1141004,"LP - 12""",2015-10-02 00:33:23,,,
"DIS90V, dis90",Fugazi,Red Medicine,"Dischord Records, Dischord Records","LP, Album",,1995,395743,"LP - 12""",2015-10-25 05:22:54,,,
"DISCHORD 30, Dischord 30",Fugazi,Fugazi,"Dischord Records, Dischord Records","12"", EP, RP",,1988,6944161,"LP - 12""",2019-04-15 00:02:25,,,
"DISCHORD Nº16, dischord 16",Rites Of Spring,Rites Of Spring,"Dischord Records, Dischord Records","LP, Album, RP",,1985,2558930,"LP - 12""",2015-09-14 03:46:55,,,
"DISCHORD № 12, DISCHORD 12, DISCHORD No. 12",Minor Threat,Minor Threat,"Dischord Records, Dischord Records, Dischord Records","LP, Comp, RP, $7",,0,2768637,"LP - 12""",2019-04-14 23:53:36,,,
ECO-26301-0,La Sonora Dinamita,Festejand Con... La,Discos Fuentes,"LP, Album",,1989,9177550,"LP - 12""",2019-11-24 23:35:24,,,
002,Occam's Razor (4),A Real Proposal For An Invisible World,Discos Huelga,"7"", TP",5,0,6093660,"7""",2015-09-14 20:59:03,,,
HUEL003,Loma Prieta,Our LP Is Your EP,Discos Huelga,"12"", S/Sided, EP, Gre",,2006,3423231,"LP - 12""",2015-09-14 01:31:06,,,
HUEL003,Loma Prieta,Our LP Is Your EP,Discos Huelga,"12"", S/Sided, EP, Ltd, Num, TP, W/Lbl",5,2006,7473875,"LP - 12""",2015-09-14 01:48:44,,,
huel013,Loma Prieta,Life/Less,Discos Huelga,"12"", Album, RP",,2012,3690132,"LP - 12""",2016-03-07 05:10:11,,,
3103,Various Featuring Peggy Lee,"Walt Disney's ""Lady And The Tramp"" - Including Songs From The Motion Picture",Disneyland,"LP, Album, Pic",,1980,627309,"LP - 12""",2019-04-29 02:53:01,,,
3909,Various,"Walt Disney's Alice In Wonderland (The Story, The Songs, The Music)",Disneyland,"LP, Album, Red",,1969,3442590,"LP - 12""",2019-04-29 02:54:42,,,
dnp 024,Xiu Xiu,Xiu Xiu / David Horvitz,Doggpony Records,"7"", Ltd, Pic",5,2006,829998,"7""",2014-03-26 04:31:50,,,
DNP020,BARR,Beyond Reinforced Jewel Case,Doggpony Records,"LP, Album",,2005,1002643,"LP - 12""",2015-09-09 04:29:34,,,
DNO292,Austra,Feel It Break,Domino,"2xLP, Album",,2011,2904206,"LP - 12""",2015-12-21 04:10:46,,,
DNO297,Wild Beasts,Smother,Domino,"LP, Album, 180",,2011,3027769,"LP - 12""",2016-01-13 06:34:20,,,
DNO304,Twin Sister (2),In Heaven,Domino,"LP, Album",,2011,3138767,"LP - 12""",2018-03-03 23:50:41,,,
REWIGLP100,Beat Happening,Look Around,Domino,"2xLP, Comp, RM, Gat",,2015,7752032,"LP - 12""",2020-09-28 00:15:59,,,
RUG886,Preoccupations / Protomartyr (2),Telemetry At Howe Bridge,Domino,"7"", Single, Ltd",,2018,12788322,"7""",2018-12-19 15:06:27,,,
RUG914T,Protomartyr (2),Consolation E.P.,Domino,"12"", EP",,2018,12138123,"LP - 12""",2018-12-19 15:08:24,,,
WIGLP 94,Four Tet,Pause,Domino,"LP, Album",,2001,24563,"LP - 12""",2016-08-28 03:58:53,,,
WIGLP154,Four Tet,Everything Ecstatic,Domino,"LP + LP, S/Sided, Etch + Album",,2005,609460,"LP - 12""",2016-01-17 23:27:38,,,
WIGLP259,Blood Orange (2),Coastal Grooves,Domino,"LP, Album",,2011,3077184,"LP - 12""",2015-08-31 02:29:22,,,
WIGLP279,Wild Beasts,Present Tense,Domino,"LP, Album, Hea",,2014,5425998,"LP - 12""",2016-01-03 19:45:08,,,
WIGLP314,Austra,Olympia,Domino,"2xLP, Album",,2013,4654776,"LP - 12""",2015-12-06 23:53:14,,,
WIGLP322,Blood Orange (2),Cupid Deluxe,Domino,"2xLP, Album",,2013,5107143,"LP - 12""",2018-12-30 00:41:42,,,
WIGLP348,Wild Beasts,Boy King,Domino,"LP, Album",,2016,8859284,"LP - 12""",2016-09-24 19:10:34,,,
WIGLP365,Austra,Future Politics,Domino,"LP, Album, Gat",,2017,10191345,"LP - 12""",2017-06-20 01:52:56,,,
WIGLP369X,Blood Orange (2),Freetown Sound,Domino,"2xLP, Album + 10"", Single + Dlx",,2016,8912995,"LP - 12""",2016-09-17 05:56:43,,,
WIGLP370,Porches (3),Pool,Domino,"LP, Album",,2016,8069944,"LP - 12""",2017-09-30 16:29:04,,,
WIGLP373,White Lung,Paradise,Domino,"LP, Album",,2016,8474494,"LP - 12""",2016-05-29 00:10:20,,,
WIGLP402,Protomartyr (2),Relatives In Descent ,Domino,"LP, Album",,2017,10915802,"LP - 12""",2017-12-22 22:36:46,,,
WIGMC390,Porches (3),Water,Domino,"Cass, EP, Ltd, Cle",,2016,8989683,Cassettes,2017-09-30 16:27:53,,,
DNO 50LP,Caribou,The Milk Of Human Kindness,"Domino, Leaf","LP, Album",,2005,1142546,"LP - 12""",2015-09-09 05:29:46,,,
DG-156,Screaming Females,All At Once,Don Giovanni Records,"2xLP, Album, Gat",,2018,11598482,"LP - 12""",2019-02-09 23:01:49,,,
DG-62,Waxahatchee,Cerulean Salt,Don Giovanni Records,"LP, Album",,2013,4785387,"LP - 12""",2016-10-15 01:36:39,,,
DG-94,Downtown Boys (2),Full Communism,Don Giovanni Records,LP,,2015,7111187,"LP - 12""",2015-09-14 00:04:22,,,
#1,Occam's Razor (4) / Lachance,Occam's Razor / Lachance,Dood Records,"7"", W/Lbl, Pin",5,2004,3582085,"7""",2015-09-14 20:16:34,,,
DC263,Joanna Newsom,The Milk-Eyed Mender,Drag City,"LP, Album",,2004,458611,"LP - 12""",2015-09-11 02:38:24,,,
DC387,Death (8),...For The Whole World To See,Drag City,"LP, Album",,2009,1739129,"LP - 12""",2015-10-25 05:10:27,,,
"DC303, DC303-LP",Joanna Newsom,Ys,"Drag City, Drag City","2xLP, Album",,2006,831253,"LP - 12""",2015-09-11 02:38:34,,,
DPRLP10,The Wake,Harmony,Drastic Plastic Records,"LP, Album, Ltd, RE, 180",,2010,2646442,"LP - 12""",2017-07-22 18:03:03,,,
DPRLP32,Au Pairs,Playing With A Different Sex,Drastic Plastic Records,"LP, Album, Ltd, Num, RE, RM, Pin",4,2013,4820569,"LP - 12""",2015-10-26 02:23:22,,,
DEG 001,Coastal,Winter,Dreams By Degrees,"10"", EP, Ltd",,2002,426411,"10""",2015-09-11 04:39:44,,,
DCR045,Neon Blud,B Girls,Drugged Conscience,"12""",,2010,2659645,To Sell,2016-06-12 00:33:36,,,
DT001,Teenage Cool Kids,Denton After Sunset,Dull Tools,LP,,2011,3302346,"LP - 12""",2018-11-26 19:52:54,,,"Grimey's, Nashville"
D UHF D22,Stereolab,The Free Design,Duophonic Ultra High Frequency Disks,"12"", EP, Ltd",,1999,308332,"LP - 12""",2016-07-17 04:55:11,,,
D-UHF-D11,Stereolab,Emperor Tomato Ketchup,Duophonic Ultra High Frequency Disks,"2xLP, Album, Ltd, Yel",,1996,73459,"LP - 12""",2015-10-17 21:47:35,,,
D-UHF-D16,Stereolab,Miss Modular,Duophonic Ultra High Frequency Disks,"12"", EP",,1997,204337,"LP - 12""",2016-03-17 04:00:27,,,
"D-UHF-D37C, D-UHF-D37",Stereolab,Switched On,"Duophonic Ultra High Frequency Disks, Duophonic Ultra High Frequency Disks","LP, Comp, Ltd, RE, RM, Cle",5,2018,12574537,"LP - 12""",2018-11-26 19:50:27,,,"Grimey's, Nashville"
PT 2007,Various,Don’t Think I’ve Forgotten: Cambodia’s Lost Rock And Roll,Dust-to-Digital,"2xLP, Comp",,2016,8398036,"LP - 12""",2016-04-23 06:13:30,,,
"DA-40, SFH-02",Various,¡Un Saludo! Mexican Soundsystem Cumbia In LA,"Dutty Artz, Songs From Home","LP, Comp, Ltd",,2017,10549576,"LP - 12""",2017-07-25 02:49:03,,,
"EES-005, 566964-1",Shannon Shaw,Shannon In Nashville,"Easy Eye Sound, Nonesuch","LP, Album",,2018,12101320,"LP - 12""",2018-06-30 06:35:24,,,
EBULLITION #25,Los Crudos / Spitboy,Viviendo Asperamente - Roughly Living,Ebullition Records (2),"LP, RP",,0,2063284,"LP - 12""",2015-09-14 05:37:36,,,
ebullition #49,Yaphet Kotto,Syncopated Synthetic Laments For Love,Ebullition Records (2),"LP, Album",,2001,623041,"LP - 12""",2015-09-14 06:39:53,,,
Ebullition #51,Orchid (3),Orchid,Ebullition Records (2),"LP, Album, Cle",,2001,1757794,"LP - 12""",2015-09-14 02:39:00,,,
EBULLITION #56,Yaphet Kotto,We Bury Our Dead Alive,Ebullition Records (2),"LP, Album",,2004,1948910,"LP - 12""",2015-09-14 06:39:07,,,
Ebullition 43,Yaphet Kotto,The Killer Was In The Government Blankets,Ebullition Records (2),"LP, Album, Ltd, Tra",,1999,4512391,"LP - 12""",2015-09-14 06:42:17,,,Red silkscreened cover
Ebullition 45,Orchid (3),Chaos Is Me,Ebullition Records (2),"12"", Album, Cle",,1999,3957626,"LP - 12""",2015-09-14 02:37:43,,,
Ebullition 59,Ampere (3) & Sinaloa,Split Recording,Ebullition Records (2),"12""",,2006,846233,"LP - 12""",2015-09-14 06:47:30,,,
"Ebullition 16.5, none",Moss Icon,It Disappears,"Ebullition Records (2), Vermin Scum Records","LP, Album",,1994,1070094,"LP - 12""",2018-02-18 22:56:43,,,
ECM 1-1129,Steve Reich,Music For 18 Musicians,ECM Records,"LP, Album",,1978,1164585,"LP - 12""",2016-05-02 05:25:27,,,
ECM-1-1215,Steve Reich,Tehillim,"ECM Records, Warner Bros. Records","LP, Album",,1982,2333844,"LP - 12""",2016-12-24 22:23:50,,,
420,Los Ovnis,¡Excitante!,Eco,"LP, Album",,1965,6697348,"LP - 12""",2020-01-23 18:02:28,,,
FYPL 32/E# 83b,Pluto (31),The Field Recordings,Ecstatic Yod,"LP, Album",,1998,9341754,"LP - 12""",2019-11-24 23:39:25,,,
5E-513,Queen,The Game,Elektra,"LP, Album, AR",,1980,5072818,"LP - 12""",2019-04-14 23:41:32,,,
60801-1,The Sugarcubes,Life's Too Good,Elektra,"LP, Album, Club",,1988,2016190,"LP - 12""",2015-09-19 07:07:14,,,
61872-1,Deee-Lite,Sampladelic Relics & Dancefloor Oddities,Elektra,"2xLP, Comp",,1996,38618,"LP - 12""",2015-12-17 03:23:12,,,
61896-4,The Afghan Whigs,Black Love,Elektra,"Cass, Album",,1996,1834154,Cassettes,2017-09-30 21:20:20,,,
"9 60430-1, 60430-1",X (5),Ain't Love Grand,"Elektra, Elektra","LP, Album, Spe",,1985,904606,"LP - 12""",2015-11-22 18:56:14,,,
"9 60438-1, 60438-1",Public Image Limited,Album,"Elektra, Elektra","LP, Album",,1986,489713,"LP - 12""",2015-09-19 07:09:30,,,
"9 60438-4, 60438-4",Public Image Limited,Cassette,"Elektra, Elektra","Cass, Album, Dol",,1986,5482312,Cassettes,2017-09-30 16:59:30,,,
"9 61426-4, 61426-4",The Sugarcubes,It's-It,"Elektra, Elektra","Cass, SR",,1992,1983501,Cassettes,2017-09-30 20:23:23,,,
"E4-60492, 60492-4",X (5),See How We Are,"Elektra, Elektra","Cass, Album, Club",,1987,4085071,Cassettes,2017-09-30 20:38:43,,,
113 796144 1,Pandora (11),...Con Amor Eterno,EMI,"LP, Album",,1991,6492995,"LP - 12""",2019-09-05 02:49:29,,,
EMI 5296,Kate Bush,The Dreaming,EMI,"7"", Single",5,1982,483966,"7""",2015-09-14 20:24:10,,,
ST-17084,Kate Bush,The Dreaming,EMI America,"LP, Album",,1982,924403,"LP - 12""",2015-09-09 05:25:37,,,
ST-17171,Kate Bush,Hounds Of Love,EMI America,"LP, Album",,1985,472418,"LP - 12""",2015-09-09 05:27:33,,,
SW-17003,Kate Bush,The Kick Inside,EMI America,"LP, Album, RE, Gre",,0,837987,"LP - 12""",2015-09-09 05:23:58,,,
"INS 3023, OC 062-61 787",X-Ray Spex,Germfree Adolescents,"EMI International, EMI International","LP, Album",,1978,443144,"LP - 12""",2016-09-11 01:18:28,,,
"EMC 3416, 0C 062-64 893",Bow Wow Wow,I Want Candy,"EMI, EMI","LP, Comp",,1982,423887,"LP - 12""",2016-08-13 02:14:03,,,
ER-10,Boyracer,Pete Shelley EP,Emotional Response (2),"7"", EP, Blu",5,2014,5846189,"7""",2015-09-14 20:17:42,,,
ER-11,American Culture / Boyracer,American Culture / Boyracer,Emotional Response (2),"7"", Gre",5,2014,5846267,"7""",2018-10-02 00:25:46,,,
ER70,Various,Typical Girls Volume Three,Emotional Response (2),"LP, Comp",,2018,11675892,"LP - 12""",2018-05-19 22:20:31,,,
TS-7500,Please Inform The Captain This Is A Hijack,Please Inform The Captain This Is A Hijack,"Empire Records (16), Empyre Records","12""",,2003,2016973,"LP - 12""",2015-09-14 03:04:01,,,
7 75403-4,Sonic Youth,Daydream Nation,Enigma Records (3),"Cass, Album",,1988,1112039,Cassettes,2017-09-30 20:54:59,,,
7 75402-1,Ciccone Youth,The Whitey Album,"Enigma Records (3), Blast First","LP, Album",,1989,1133507,"LP - 12""",2016-09-11 01:10:41,,,
D4-73314,Wire,A Bell Is A Cup Until It Is Struck,"Enigma Records (3), Mute",Cass,,1988,4524027,Cassettes,2017-09-30 20:44:45,,,
7 73397-4,GTO's,Permanent Damage,Enigma Retro,"Cass, Album, RM, Dol",,1989,3486577,Cassettes,2017-09-30 20:58:14,,,
"ENS 1001, ENS-1001",Isaac Hayes,Hot Buttered Soul,"Enterprise, Enterprise","LP, Album, Mon",,1969,533998,"LP - 12""",2019-04-29 03:05:58,,,
88985377871,A Tribe Called Quest,We Got It From Here…Thank You 4 Your Service,Epic,"2xLP, Album",,2016,9437902,"LP - 12""",2018-12-30 00:42:34,,,
EPC 83534,Starjets,God Bless Starjets,Epic,LP,,1979,1321394,"LP - 12""",2017-11-05 00:37:29,,,
EPC 85665,Altered Images,Pinky Blue,Epic,"LP, Album",,1982,1670200,"LP - 12""",2019-07-28 07:14:04,,,
KE 30325,Sly & The Family Stone,Greatest Hits,Epic,"LP, Comp, Pit",,1970,1218116,"LP - 12""",2019-02-09 23:05:16,,,
"ET 52476, ET52476",Various,Singles - Original Motion Picture Soundtrack,"Epic Soundtrax, Epic Soundtrax","Cass, Album, Comp",,1992,4635357,Cassettes,2017-09-30 20:40:25,,,
"BG 30632, EG 30632",Fleetwood Mac,Black Magic Woman,"Epic, Epic","2xLP, Comp, RE, Ora",,1973,4295335,"LP - 12""",2019-04-29 02:28:48,,,
"88691963511, 88691963511 S1, 88691963511-I1",Death Grips,The Money Store,"Epic, Epic, Epic","LP, Album",,2012,3555784,"LP - 12""",2016-07-02 03:37:07,,,
FE 37411,Orchestral Manoeuvres In The Dark,O.M.D.,"Epic, Virgin, Dindisc","LP, Comp",,1981,415940,"LP - 12""",2019-11-16 18:35:17,,,
ES94015,The Mummies,Play Their Own Records!,Estrus Records,"LP, Comp, RP, Cle",,2009,1868456,"LP - 12""",2015-09-14 02:24:13,,,
EVE-055,Super Furry Animals,Fuzzy Logic,Everloving Records,"LP, Album, Ltd, RE, 180",,2017,10169928,"LP - 12""",2017-04-27 03:16:34,,,
ftw.003,Xiu Xiu,Razor Scooter / Sashay Away,F.T.W. Records,"2xFile, FLAC, Single",,2010,3404510,Miscellanous,2015-08-22 09:03:57,,,
Fact 130,The Wake,Here Comes Everybody,Factory,"LP, Album",,1985,401836,"LP - 12""",2019-02-02 23:49:26,,,
FACT. 50c,New Order,Movement,Factory,"Cass, Album, RE, Whi",,1987,4104886,Cassettes,2017-09-30 16:42:19,,,
Facus 4,A Certain Ratio,Do The Du (Casse),Factory (US),"12""",,1981,42567,"LP - 12""",2015-11-15 01:59:33,,,
"FACTUS 50, FACT. 50",New Order,Movement,"Factory (US), Factory (US)","LP, Album",,1982,503240,"LP - 12""",2015-09-11 04:07:37,,,Translucent purple vinyl
none,"Ariel Pink, Blood Orange (2)",Heaven Knows What (Original Music for the Film),Factory 25,"7"", Shape, Ltd, Pin",,2015,7782328,"10""",2016-06-12 00:14:48,,,
"FACT 10, FACT. 10",Joy Division,Unknown Pleasures,"Factory, Factory","LP, Album, RE",,0,2604083,"LP - 12""",2015-12-20 20:30:58,,,
FC022,Xiu Xiu / Lawrence English,Less Artists More Condos Series #8,Famous Class,"7"", Ltd, Sil",5,2013,4631181,"7""",2015-08-19 06:35:18,,,
F-9556,Sylvester,Step II,Fantasy,"LP, Album, SP ",,1978,3827690,"LP - 12""",2015-09-14 04:51:09,,,
5F 9601,Sylvester,Sell My Soul,Fantasy Honey Records,"Cass, Album",5,1980,10936844,Cassettes,2017-09-30 22:43:49,,,
FIR-055,The Minneapolis Uranium Club,All Of Them Naturals,Fashionable Idiots,"12"", MiniAlbum",,2017,9615500,"LP - 12""",2017-02-05 06:34:48,,,
FP1133-1,Crocodiles,Summer Of Hate,Fat Possum Records,"LP, Album",,2009,1817670,"LP - 12""",2015-10-25 05:15:59,,,
FP1188-1,Digital Leather,Warm Brother,Fat Possum Records,"LP, Album",,2009,2074951,"LP - 12""",2015-09-14 00:01:48,,,
FP1235-1,Smith Westerns,Dye It Blonde,Fat Possum Records,"LP, Album",,2011,2681359,"LP - 12""",2015-12-20 05:04:51,,,
FP1257-1,Yuck,Yuck,Fat Possum Records,"2xLP, Album, RE",,2011,3248712,"LP - 12""",2015-09-11 04:59:15,,,
"FAT625-1, FAT 625-1",Good Riddance,Symptoms Of A Leveling Spirit,"Fat Wreck Chords, Fat Wreck Chords","LP, Album, Gra",,2001,5143492,"LP - 12""",2019-04-14 23:38:53,,,
FAT-SP08LP,Animal Collective,Sung Tongs,FatCat Records,"2xLP, Album",,2004,408244,"LP - 12""",2015-09-09 04:38:09,,,
FAT-SP11LP,Animal Collective,Feels,FatCat Records,"2xLP, Album",,2005,684630,"LP - 12""",2015-09-09 04:35:15,,,
FATLP87,The Twilight Sad,Killed My Parents And Hit The Road,FatCat Records,"LP, Comp",,2019,14374932,"LP - 12""",2020-02-17 23:31:44,,,
FD-052,Vagabon,Infinite Worlds,Father/Daughter Records,"LP, Album, Ltd, Met",,2017,10053550,"LP - 12""",2020-06-14 21:58:24,,,
FDH-111,Digital Leather,Modern Problems,FDH Records,"LP, Album",,2012,3437499,"LP - 12""",2018-03-03 23:54:30,,,
FT20,Various,We've Lost Beauty: A Compilation For Christopher,File 13 Records,"LP, Comp",,1995,3097704,"LP - 12""",2015-09-14 19:47:58,,,
BLAZE 37T,Television Personalities,Salvador Dali's Garden Party EP,Fire Records,"12"", EP",,1989,1115060,"LP - 12""",2015-12-17 03:25:26,,,
BLAZE221,ESG,The Moody EP,Fire Records,"12"", Ltd, RE, S/Edition, Gre",,2015,6910825,"LP - 12""",2015-10-25 05:17:14,,,
FF140,ESG,Come Away With ESG,Fire Records,"LP, Album, RE",,2011,3347678,"LP - 12""",2016-07-02 03:39:47,,,
FIRELP233,ESG,Keep On Moving,Fire Records,"LP, Album, Ltd, RE, Blu",,2017,10789849,"LP - 12""",2017-12-04 01:03:59,,,
sfire015-1,Spacemen 3,Sound Of Confusion,Fire Records,"LP, Album, RE, 180",,2009,2124094,"LP - 12""",2015-10-02 00:27:35,,,
FTK-165,Dehd,Flower of Devotion,Fire Talk,LP,,2020,15672494,"LP - 12""",2020-11-19 23:39:52,,,
FTK144,Dehd,Water,Fire Talk,"LP, Album",,2019,14022701,"LP - 12""",2020-11-19 23:38:23,,,
"Flash 04.96.0271, Flashback 04.96.0271",The Smashing Pumpkins,Acoustic Melon Songs,"Flashback World Productions, Flashback World Productions","CD, Unofficial",,1996,2880631,CD,2016-01-03 20:30:38,,,
FNLP588,The Courtneys,The Courtneys,Flying Nun Records,"12"", Album, Ltd, RE, Blu",,2017,11284725,"LP - 12""",2018-01-16 01:52:58,,,
"FN570LP, FN-LP570",The Courtneys,II,"Flying Nun Records, Flying Nun Records","LP, Album",,2017,9852631,"LP - 12""",2017-08-18 22:29:48,,,
FN001,Xiu Xiu,Respectful & Clean,Fnord Tapes,"Cass, EP",,2015,7280823,Cassettes,2015-08-15 21:22:48,,,
FT059,Freddy Ruppert,Dove Hounds (American Tragedies) ,Folktale,"Cass, Album, Ltd",,2014,5368572,Cassettes,2017-09-30 20:33:30,,,
"FT058, TPR013",Whitman / Former Ghosts,Whitman / Former Ghosts,"Folktale, Tiny Panda Records","7"", Ltd",5,2013,5184211,"7""",2015-09-17 07:59:46,,,
"LPM 10064, 6472 035",Chespirito,Así Cantamos Y Vacilamos En La Vecindad Del Chavo,"Fontana, Fontana","LP, Album",,1977,2939846,"LP - 12""",2020-01-23 18:01:44,,,
"Bite 4, BITE FOUR",Various,Imminent 4,"Food, Food","LP, Album, Comp",,1986,870624,"LP - 12""",2016-12-03 04:26:33,,,
FU043,Dolly Mixture,Remember This: The Singles Collection 1980-1984,For Us Records,"LP, Comp, Whi",,2011,2890205,"LP - 12""",2019-03-02 23:54:31,,,
FPS 002,Xiu Xiu,Fag Patrol,Free Porcupine Society,"CD, Album",,2003,6248063,CD,2015-02-24 00:12:32,,,
FPS 002,Xiu Xiu,Fag Patrol,Free Porcupine Society,"CD, Album, Ltd",,2003,2142664,CD,2015-02-24 00:12:45,,,
FPS 006,Xiu Xiu,Fabulous Muscles,Free Porcupine Society,"LP, Album, Ltd",,2004,659269,"LP - 12""",2014-03-26 04:22:33,,,
FPS 006,Xiu Xiu,Fabulous Muscles,Free Porcupine Society,"LP, Album, RP",,2004,1170045,"LP - 12""",2014-03-26 04:22:26,,,
FPS 006,Xiu Xiu,Fabulous Muscles,Free Porcupine Society,"LP, Album, Ltd",,2004,659269,"LP - 12""",2016-03-26 05:29:43,,,
FPS 007,Deerhoof,Milk Man,Free Porcupine Society,"LP, Album",,2004,719897,"LP - 12""",2015-09-13 23:51:14,,,
FPS002,Xiu Xiu,Fag Patrol,Free Porcupine Society,"CD, Comp, RP",,2005,990913,CD,2015-09-14 23:00:05,,,
FPS09,7 Year Rabbit Cycle,Wind Machines,Free Porcupine Society,"LP, Ltd",5,2004,1723864,"LP - 12""",2015-05-08 23:28:40,,,
FKR051-1,The Drums (2),Portamento,"Frenchkiss Records, Island Records","LP, Album",,2011,3250663,"LP - 12""",2016-11-10 02:42:20,,,
FR012,Hella,Hold Your Horse Is,Frenetic Records,"LP, Album",,2002,1383932,"LP - 12""",2015-09-14 00:36:13,,,
31039-1,Various,Dangerhouse Volume One,Frontier Records,"LP, Comp, RE, Red",,2006,1653486,"LP - 12""",2015-09-14 19:51:43,,,
31088-1,Lilys,In The Presence Of Nothing,Frontier Records,"2xLP, Album, RE, RM, 180",,2017,9647114,"LP - 12""",2018-11-26 19:49:03,,,"Grimey's, Nashville"
FLP 1003,Adolescents,Adolescents,Frontier Records,"LP, Album, RE",,1982,4858859,"LP - 12""",2017-11-12 00:05:48,,,
"31039-4, BRGR411",Various,Dangerhouse Volume One,"Frontier Records, Burger Records","Cass, Comp, Ltd",,2015,7641174,Cassettes,2017-09-30 20:43:53,,,
"31050-4, BRGR412",Various,Dangerhouse Volume Two: Give Me A Little Pain!,"Frontier Records, Burger Records","Cass, Comp, Ltd",,2015,7641564,Cassettes,2017-09-30 20:44:12,,,
"FRYK 03, Fryk03 LP",Panther (3),Secret Lawns,"Fryk Beat, Fryk Beat","LP, Album",,2007,2356454,"LP - 12""",2016-03-26 05:24:02,,,
FIT049,Meneguar,"Tone Banks 1 ""Some Downs""",Fuck It Tapes,"Cass, C40",,2007,1204885,Cassettes,2017-09-30 20:29:39,,,
FIT060,Blank Dogs,Year One,Fuck It Tapes,"Cass, Comp, Ltd, C76",,2008,1486987,Cassettes,2017-09-30 20:28:46,,,
FIT062,Blank Dogs,The Fields,Fuck It Tapes,"Cass, Ltd, C22",,2008,1548289,Cassettes,2017-09-30 20:29:07,,,
"FHU 001, none",Science Of Yabra,Check The Sound,"Fuckhead Union, The Shitlips Society","LP, Album",,2003,2979310,"LP - 12""",2015-09-14 03:47:41,,,
